"","PERSON_ID","DREB_CHANCE_DEFER","PERCENT_CONTESTING","DRB","MP","STEAL_RATE","BLK_RATE","CLUSTERS","Name"
"1","101106",1.1686544733318,1.16586024788598,1.23147769159424,-0.340704625444188,-0.616360893497295,2.81826505474036,4,"Andrew Bogut"
"2","101107",1.95586821381693,0.28449946412866,0.997249437630169,0.751935402827772,-0.61068203576183,0.671121350440292,1,"Marvin Williams"
"3","101108",0.466544921007235,-0.836073381107147,0.294564675737962,1.25828078178307,2.78647318112761,-0.761521270906789,2,"Chris Paul"
"4","101109",-0.107908349076503,-0.267974134060469,-0.232448895681193,0.552062226924365,0.121875067794444,-0.702021409107098,2,"Raymond Felton"
"5","101111",-1.10788255996301,-0.750795992299333,-0.642348340118313,-1.67319246480024,-0.286589094064516,-0.129066383006,4,"Charlie Villanueva"
"6","101112",-0.235564631317334,-0.361553065550267,-0.232448895681193,-0.820400247612365,-0.681144704768973,0.107322457471751,4,"Channing Frye"
"7","101114",-0.278116725397611,-0.756680239113378,-0.349563022663227,1.21830614660239,-0.308637789956823,-0.758673094433498,2,"Deron Williams"
"8","101123",-0.618533478039826,-1.38232752697703,-0.70090540360933,-0.0875319359665381,-0.41302763334076,-0.401516805703165,3,"Gerald Green"
"9","101127",-1.00150232476232,-0.89744808926914,0.470235866211014,1.17833151142171,0.242579607350874,-0.755771681016782,2,"Jarrett Jack"
"10","101133",1.1686544733318,1.96369905000449,1.17292062810322,0.312214415840277,0.318027488607365,1.09190731770836,1,"Ian Mahinmi"
"11","101135",0.275060497645989,0.920534279164398,0.294564675737962,-0.913674396367289,-0.596346382697914,0.464201894531645,4,"David Lee"
"12","101138",0.445268873967096,0.671170625837306,-0.29100595917221,-0.394004139018429,-0.575937497301502,0.912869765164634,4,"Brandon Bass"
"13","101139",0.0410239802044659,0.0910926206201339,-0.525234213136279,-0.047557300785857,0.299193726061254,0.0289782936757581,3,"CJ Miles"
"14","101141",1.29631075557263,1.01033585185424,0.177450548755928,0.285564659053155,-0.32721425027554,-0.27710700458335,1,"Ersan Ilyasova"
"15","101145",-0.107908349076503,-0.83693542742622,-0.232448895681193,1.40485444411224,2.10641197135981,-0.325143558345172,2,"Monta Ellis"
"16","101150",-0.810017901401072,-0.88820405216064,-0.642348340118313,0.698635889253531,0.0142015362137058,-0.539723275649907,2,"Louis Williams"
"17","101161",1.21120656741208,2.5838293089384,0.528792929702031,-0.0608821791794172,-0.0602998467487243,1.35729716918404,4,"Amir Johnson"
"18","101162",2.46649334278025,2.17881243552843,2.16839070745051,0.911833943550499,-0.974860013015097,1.10300291964476,1,"Marcin Gortat"
"19","101179",-1.40574721852495,-1.02978538068352,-1.16936191153747,-0.500603166166913,2.55871030816131,-0.553297661659452,3,"Ronnie Price"
"20","101181",-0.618533478039826,-0.982697039641379,-0.173891832190175,0.645336375679289,0.0523801808634919,-0.890145325874965,2,"Jose Calderon"
"21","1495",0.913341908850142,1.04582651177574,1.29003475508526,0.258914902266034,0.0283922758255976,1.52536099596889,1,"Tim Duncan"
"22","1626143",1.18993052037194,1.99462476730117,0.880135310648135,0.898509065156938,-1.53542722940483,0.942599676592436,1,"Jahlil Okafor"
"23","1626144",0.80696167364945,-0.920074933737378,-0.173891832190175,0.95180857873118,0.12595361065735,-0.241935182565508,2,"Emmanuel Mudiay"
"24","1626145",-1.38447117148481,-1.24868474695418,-1.22791897502849,-1.03359830190933,1.71571699225888,-0.744652716052074,3,"Tyus Jones"
"25","1626147",-0.788741854360933,-0.733672834070463,-0.642348340118313,-1.52661880247107,-0.508570879827751,1.06193923630686,4,"Justin Anderson"
"26","1626156",0.296336544686127,-0.379581256068969,-0.232448895681193,0.658661254072849,0.946261391147934,-0.7124356763671,2,"D'Angelo Russell"
"27","1626157",2.84946218950274,1.74770707709233,2.63684721537865,1.16500663302815,-0.809970012808175,1.60269661626285,1,"Karl-Anthony Towns"
"28","1626158",-0.320668819477888,0.430037328027228,-1.05224778455543,-1.26012123459986,-0.20606342211,1.84641770854972,4,"Richaun Holmes"
"29","1626159",1.70055564933526,0.445588015643923,0.528792929702031,0.711960767647091,0.00482373975689605,-0.541574328287572,1,"Justise Winslow"
"30","1626161",-0.0228041609159494,-0.405089805330091,0.0603364217738933,-0.247430476689264,0.110287431997026,1.28102053751826,4,"Willie Cauley-Stein"
"31","1626162",-0.937674183641902,-0.352948601247187,-0.876576594082382,-1.67319246480024,-0.286589094064516,-0.599095356514086,3,"Kelly Oubre Jr."
"32","1626163",0.658029344368481,0.865661226146393,0.0603364217738933,-0.287405111869945,-0.655251649079029,0.122655294749515,4,"Frank Kaminsky"
"33","1626164",-0.278116725397611,0.293182844177415,-0.642348340118313,0.592036862105047,-0.8281751115781,-0.524433714512802,2,"Devin Booker"
"34","1626166",-0.980226277722179,-0.0725065461789586,-1.11080484804645,-1.47331928889683,1.50911453205,-0.656885804076556,3,"Cameron Payne"
"35","1626167",0.658029344368481,1.8584471663857,0.704464120175083,-0.0608821791794172,-1.17782059118517,2.01904848714938,4,"Myles Turner"
"36","1626168",0.594201203248065,0.573098405828924,-0.115334768699158,-0.793750490825244,-1.19504634447128,-0.487701206723153,4,"Trey Lyles"
"37","1626169",-0.0228041609159494,0.290336359817234,0.118893485264911,-0.0209075439987356,0.273505050940085,-0.633686233352344,2,"Stanley Johnson"
"38","1626170",-0.724913713240518,-0.409009097794153,-0.935133657573399,-0.887024639580167,0.913603773904726,-0.766153847098286,3,"Jerian Grant"
